i,j,dist,eps
1,125,4.104141765342785,4.3822935819625854
1,136,4.3283147151337396,4.3822935819625854
8,377,3.626223237322403,4.3822935819625854
8,435,4.087237947689129,4.3822935819625854
8,438,4.327784233795239,4.3822935819625854
9,377,4.146265761064125,4.3822935819625854
11,136,4.2360437745915185,4.3822935819625854
11,590,4.279434704290463,4.3822935819625854
18,108,3.9514364386664163,4.3822935819625854
18,336,4.375755646334721,4.3822935819625854
21,108,4.313361668096615,4.3822935819625854
30,56,4.346890264259411,4.3822935819625854
40,377,4.041490492479635,4.3822935819625854
48,98,3.8461627895699273,4.3822935819625854
56,83,4.281320982681347,4.3822935819625854
56,108,3.6470682183967362,4.3822935819625854
56,125,3.0951784188614617,4.3822935819625854
56,136,2.7592340643273126,4.3822935819625854
56,195,3.8067377145157586,4.3822935819625854
56,197,4.139531188713146,4.3822935819625854
56,207,3.3731095130310784,4.3822935819625854
56,254,4.268008762107922,4.3822935819625854
56,275,4.340234332786633,4.3822935819625854
56,316,3.68889706681831,4.3822935819625854
56,336,2.4530812735424767,4.3822935819625854
56,341,3.6815608079300652,4.3822935819625854
56,353,3.267484837280346,4.3822935819625854
56,358,4.0007570917473565,4.3822935819625854
56,480,3.710324638591839,4.3822935819625854
56,497,4.235344343887402,4.3822935819625854
56,503,4.18613462995155,4.3822935819625854
56,535,4.318984561668469,4.3822935819625854
56,553,2.9678369099961053,4.3822935819625854
56,571,2.754032366977764,4.3822935819625854
56,577,2.81257289002998,4.3822935819625854
56,579,3.9187716479168664,4.3822935819625854
56,590,2.8814859325752984,4.3822935819625854
60,108,4.085144692169262,4.3822935819625854
60,136,3.698718064533306,4.3822935819625854
60,336,3.6913821632729302,4.3822935819625854
60,358,4.3091266090737115,4.3822935819625854
60,553,3.6555502350197564,4.3822935819625854
60,571,3.6987897093163262,4.3822935819625854
60,577,3.6222696239815484,4.3822935819625854
60,579,3.961210512624813,4.3822935819625854
60,590,3.565092110143734,4.3822935819625854
62,85,3.110363072784377,4.3822935819625854
62,92,4.136969977127148,4.3822935819625854
62,98,4.305920001188053,4.3822935819625854
62,108,1.5779085094795953,4.3822935819625854
62,125,3.493141532944275,4.3822935819625854
62,136,2.262628772364689,4.3822935819625854
62,178,3.7280362258420716,4.3822935819625854
62,195,3.641720661030842,4.3822935819625854
62,207,3.773665362106396,4.3822935819625854
62,306,4.171800562249256,4.3822935819625854
62,316,3.7436382706032525,4.3822935819625854
62,336,2.1877408857212792,4.3822935819625854
62,353,3.3207008103595506,4.3822935819625854
62,358,3.078346562640501,4.3822935819625854
62,423,4.32712859015329,4.3822935819625854
62,445,3.6683678562508355,4.3822935819625854
62,477,3.7877931008802186,4.3822935819625854
62,480,3.141744964824749,4.3822935819625854
62,497,4.047540568815304,4.3822935819625854
62,503,4.365881093846394,4.3822935819625854
62,553,2.459077215822173,4.3822935819625854
