i,j,dist,eps
0,239,9.344765172408653,9.452143430709839
2,308,7.9420528421865235,9.452143430709839
3,308,7.2195650945173035,9.452143430709839
6,239,9.239295725779368,9.452143430709839
7,308,9.404801712440086,9.452143430709839
8,62,8.713064313934876,9.452143430709839
8,103,9.176010490463806,9.452143430709839
8,114,8.73264017801149,9.452143430709839
8,155,8.793811709688736,9.452143430709839
8,189,8.192195178078247,9.452143430709839
8,239,6.751104579375816,9.452143430709839
8,259,8.556944252060486,9.452143430709839
8,308,8.535107643412186,9.452143430709839
8,309,8.394608304904533,9.452143430709839
8,504,8.47899842362268,9.452143430709839
8,556,8.953753159450127,9.452143430709839
9,308,9.045628846691681,9.452143430709839
10,308,5.757499993847443,9.452143430709839
11,90,7.858442396925522,9.452143430709839
11,192,9.210870505379273,9.452143430709839
11,214,9.428569437073303,9.452143430709839
11,308,5.5764344940648805,9.452143430709839
11,412,9.265231938170029,9.452143430709839
11,422,8.96664011578424,9.452143430709839
11,436,8.417089642094208,9.452143430709839
11,579,8.849110544727875,9.452143430709839
11,581,9.35566508869989,9.452143430709839
12,308,7.938551248119904,9.452143430709839
13,168,7.983767152832581,9.452143430709839
13,177,8.022124321268631,9.452143430709839
13,181,8.175183610127998,9.452143430709839
13,239,7.937591106699539,9.452143430709839
14,341,9.050949038075043,9.452143430709839
15,308,8.176105321453644,9.452143430709839
16,143,9.18610817293985,9.452143430709839
16,308,9.341541648911072,9.452143430709839
16,457,8.597541452454163,9.452143430709839
19,308,7.83495432238443,9.452143430709839
21,308,7.145393432186676,9.452143430709839
23,308,7.206074656056,9.452143430709839
24,308,7.440449894474579,9.452143430709839
25,29,8.365557611988617,9.452143430709839
25,396,8.397913874195648,9.452143430709839
25,455,9.07882934908731,9.452143430709839
25,566,9.104811624692513,9.452143430709839
26,308,5.924425781773163,9.452143430709839
27,192,9.438914001988007,9.452143430709839
27,308,6.790126026676727,9.452143430709839
27,581,8.890118063496185,9.452143430709839
29,148,9.294332147644592,9.452143430709839
29,196,9.044103921459747,9.452143430709839
29,266,9.057289899395538,9.452143430709839
29,308,3.385450542973114,9.452143430709839
29,436,8.73419314722879,9.452143430709839
29,563,7.719727099941803,9.452143430709839
29,581,8.710641325520111,9.452143430709839
30,308,7.469588697956635,9.452143430709839
32,308,8.145500035093857,9.452143430709839
33,308,7.241416455315186,9.452143430709839
34,308,7.2841705689893494,9.452143430709839
35,239,9.259316326187683,9.452143430709839
35,341,8.794154823826386,9.452143430709839
36,239,9.39826238255365,9.452143430709839
36,308,8.722461880253388,9.452143430709839
38,308,9.403524220989777,9.452143430709839
40,308,7.417295874165131,9.452143430709839
41,239,9.324828163789345,9.452143430709839
42,308,9.190072239445282,9.452143430709839
43,566,8.899465219186379,9.452143430709839
44,308,8.376672447727753,9.452143430709839
47,308,8.326265514896942,9.452143430709839
48,98,9.144317270325256,9.452143430709839
48,308,6.882818044231964,9.452143430709839
49,239,7.866103530930115,9.452143430709839
49,308,9.311093867825104,9.452143430709839
49,309,9.2600829164253,9.452143430709839
50,308,7.590111077831818,9.452143430709839
51,239,9.036518276737763,9.452143430709839
52,308,8.722308457897736,9.452143430709839
53,143,9.151688755558563,9.452143430709839
53,156,9.394802750156952,9.452143430709839
53,192,9.41973465781076,9.452143430709839
53,308,9.05803644757135,9.452143430709839
53,457,9.412811280296875,9.452143430709839
54,308,8.35895711283548,9.452143430709839
56,156,9.12813800673349,9.452143430709839
56,192,9.041478336857391,9.452143430709839
56,308,5.431316317127777,9.452143430709839
56,433,9.310383022831513,9.452143430709839
56,581,9.183303535984589,9.452143430709839
57,239,7.229296640561653,9.452143430709839
57,556,9.00867511432035,9.452143430709839
59,308,7.61104542116983,9.452143430709839
60,239,9.336706788347794,9.452143430709839
60,341,9.427092493580414,9.452143430709839
61,308,8.739348978804184,9.452143430709839
62,108,9.425207392381264,9.452143430709839
62,192,9.437620998428894,9.452143430709839
62,308,8.460343659924103,9.452143430709839
62,336,9.335625619696213,9.452143430709839
62,412,8.944239907966686,9.452143430709839
62,422,9.376253486679627,9.452143430709839
62,606,8.928892464445664,9.452143430709839
63,308,9.310098589466644,9.452143430709839
64,308,7.487293065594269,9.452143430709839
65,308,8.115958870457245,9.452143430709839
66,308,6.518491567181183,9.452143430709839
68,308,7.073972166584564,9.452143430709839
69,308,8.800308764980866,9.452143430709839
70,308,8.272885383175446,9.452143430709839
71,308,9.293788255261017,9.452143430709839
72,239,9.4047907638119,9.452143430709839
72,308,8.970034421490265,9.452143430709839
72,504,8.63046795229776,9.452143430709839
73,308,8.443199099110199,9.452143430709839
75,308,8.829651893185211,9.452143430709839
76,308,6.760155142353607,9.452143430709839
77,308,7.596834243343903,9.452143430709839
78,308,7.564114452408386,9.452143430709839
79,239,9.262421147035194,9.452143430709839
80,103,9.194206834839417,9.452143430709839
80,154,8.92294043402536,9.452143430709839
80,165,7.746942342327667,9.452143430709839
80,239,7.358127952622009,9.452143430709839
80,309,8.3989936719404,9.452143430709839
80,341,2.0453947196470033,9.452143430709839
80,391,9.424936891602112,9.452143430709839
80,393,7.187380851315094,9.452143430709839
80,464,9.172545553253723,9.452143430709839
80,534,7.805677593754364,9.452143430709839
81,239,7.476362348602844,9.452143430709839
81,396,8.27425080637796,9.452143430709839
81,455,9.274582267807556,9.452143430709839
82,308,5.923222125576569,9.452143430709839
82,436,9.159562529133392,9.452143430709839
83,239,9.13715747098787,9.452143430709839
83,308,8.988571346806122,9.452143430709839
84,308,9.296166361378265,9.452143430709839
85,203,8.543527663754059,9.452143430709839
85,225,9.24442333083017,9.452143430709839
85,239,7.7007392058835755,9.452143430709839
85,396,6.161584318684174,9.452143430709839
85,455,8.286360264824463,9.452143430709839
85,566,9.209037081407143,9.452143430709839
86,308,8.634561241673065,9.452143430709839
88,308,8.7368865619169,9.452143430709839
89,229,9.085817814873291,9.452143430709839
89,308,9.054907382534576,9.452143430709839
90,103,8.73720970849855,9.452143430709839
90,165,8.619441599653793,9.452143430709839
90,168,8.594215900705887,9.452143430709839
90,189,8.81964573364122,9.452143430709839
90,203,9.194735051201416,9.452143430709839
90,208,9.438831956194473,9.452143430709839
90,238,9.419553191469742,9.452143430709839
90,239,6.117990874754025,9.452143430709839
90,309,8.606239081429077,9.452143430709839
90,341,7.058020860956741,9.452143430709839
90,391,9.41628298263414,9.452143430709839
90,393,8.503909141825272,9.452143430709839
90,396,8.598911375807358,9.452143430709839
90,437,8.912861765431,9.452143430709839
90,455,9.098299474524094,9.452143430709839
90,556,7.9703387926088105,9.452143430709839
91,203,8.932811842368675,9.452143430709839
91,239,7.842029200004173,9.452143430709839
91,308,8.73932932417257,9.452143430709839
91,396,9.290652171777321,9.452143430709839
91,556,8.432799355195595,9.452143430709839
93,308,7.336916388081146,9.452143430709839
95,308,8.466772631810738,9.452143430709839
97,308,5.533407391117645,9.452143430709839
98,148,7.790314258144928,9.452143430709839
98,177,9.08032077650888,9.452143430709839
98,181,9.183599413441254,9.452143430709839
98,203,9.13292420010431,9.452143430709839
98,217,8.684967042015625,9.452143430709839
98,255,9.161182508872582,9.452143430709839
98,551,8.816695631550385,9.452143430709839
98,556,9.211993307875229,9.452143430709839
100,308,8.787121594952179,9.452143430709839
101,308,8.523011864231659,9.452143430709839
102,308,7.627758921192719,9.452143430709839
103,143,8.78834593396051,9.452143430709839
103,156,9.094553859041763,9.452143430709839
103,192,8.7910276065336,9.452143430709839
103,308,6.469342053936554,9.452143430709839
103,412,9.361349762486054,9.452143430709839
103,422,9.083541573093964,9.452143430709839
103,436,8.683585465954376,9.452143430709839
103,579,8.12680596213205,9.452143430709839
103,581,8.892895997570587,9.452143430709839
104,239,7.678368211792542,9.452143430709839
105,308,7.838583768414093,9.452143430709839
106,239,7.862545148538185,9.452143430709839
106,308,8.858243809150292,9.452143430709839
108,189,9.39445997874601,9.452143430709839
108,203,8.31809288363321,9.452143430709839
108,239,6.3411840210424195,9.452143430709839
108,309,9.217219413326813,9.452143430709839
108,396,8.067528308437897,9.452143430709839
108,437,9.301199109362198,9.452143430709839
108,455,8.891245485352112,9.452143430709839
108,556,7.865831912563873,9.452143430709839
109,239,8.052071691559387,9.452143430709839
109,396,8.781345904873444,9.452143430709839
109,455,9.355748296783997,9.452143430709839
110,308,8.242893160389496,9.452143430709839
112,308,9.382668198154999,9.452143430709839
113,308,7.238817096756531,9.452143430709839
114,308,8.897651852177216,9.452143430709839
115,341,8.400158704327179,9.452143430709839
117,239,9.340385974453522,9.452143430709839
120,308,7.073607088135315,9.452143430709839
124,308,8.070032299564911,9.452143430709839
125,308,8.386754931019379,9.452143430709839
126,239,8.914827854441238,9.452143430709839
126,396,8.745695055531097,9.452143430709839
128,308,7.590436399983002,9.452143430709839
130,308,7.460873068378998,9.452143430709839
131,308,8.68876999716623,9.452143430709839
132,308,7.39833790163858,9.452143430709839
133,308,6.763858259724213,9.452143430709839
