i,j,dist,eps
1,464,4.202492381514741,4.340920567512512
1,575,4.177330047892166,4.340920567512512
2,188,3.761195779846741,4.340920567512512
10,144,4.295048476265503,4.340920567512512
10,263,4.164504648254944,4.340920567512512
10,308,4.0701749334798585,4.340920567512512
11,502,4.231972933815552,4.340920567512512
11,566,4.181432128952576,4.340920567512512
12,548,4.123212696121765,4.340920567512512
12,566,4.079562247799469,4.340920567512512
13,181,3.804756284760071,4.340920567512512
16,71,4.333272458122803,4.340920567512512
16,143,4.1525572548375855,4.340920567512512
16,196,4.29463803868158,4.340920567512512
16,457,3.4523513327108155,4.340920567512512
16,458,3.4804222593770753,4.340920567512512
16,548,3.5042282948957215,4.340920567512512
16,566,4.248674870537354,4.340920567512512
17,188,4.1527050743566285,4.340920567512512
17,566,3.88525652985437,4.340920567512512
18,91,4.0626623044477235,4.340920567512512
19,122,4.034693420933319,4.340920567512512
19,344,4.332523704575134,4.340920567512512
19,464,4.065675179542733,4.340920567512512
19,481,4.301311553524567,4.340920567512512
21,196,3.5939078340993653,4.340920567512512
21,457,3.5956250439153443,4.340920567512512
21,541,3.893047095345093,4.340920567512512
24,55,4.2181207696662675,4.340920567512512
24,71,4.183515549706055,4.340920567512512
24,91,4.069902957485748,4.340920567512512
24,198,4.319545031593872,4.340920567512512
24,267,4.006625414894653,4.340920567512512
24,457,4.132370592163635,4.340920567512512
25,29,3.1250810633168946,4.340920567512512
25,425,4.095956088112427,4.340920567512512
30,404,3.418233634041382,4.340920567512512
31,349,4.323463679359985,4.340920567512512
31,479,3.655129672096802,4.340920567512512
33,566,4.228377462433411,4.340920567512512
34,99,4.181961060570313,4.340920567512512
34,162,4.274125338600708,4.340920567512512
34,197,3.523308516548706,4.340920567512512
34,308,4.200585127876831,4.340920567512512
34,566,3.988564373062683,4.340920567512512
35,457,3.872444749878479,4.340920567512512
36,464,4.278139050187303,4.340920567512512
36,576,4.166000784443451,4.340920567512512
40,62,4.19718599419458,4.340920567512512
40,451,2.9749921570287476,4.340920567512512
40,457,3.959373951958252,4.340920567512512
40,494,3.148104430244995,4.340920567512512
43,566,3.25921106438501,4.340920567512512
44,404,4.1222310076223145,4.340920567512512
47,503,4.325262428330017,4.340920567512512
48,98,2.3294929275975953,4.340920567512512
48,308,3.426771641777588,4.340920567512512
48,595,3.8566049347387086,4.340920567512512
50,451,4.245596648262573,4.340920567512512
50,457,4.166035057114197,4.340920567512512
52,140,3.057529927300049,4.340920567512512
52,153,3.6170140514837037,4.340920567512512
52,263,4.326926590012146,4.340920567512512
52,272,4.0917848954664,4.340920567512512
52,281,4.130281002329422,4.340920567512512
52,343,4.291115165756775,4.340920567512512
52,349,3.700578213738037,4.340920567512512
52,368,3.9460347304807435,4.340920567512512
52,393,4.174722732113434,4.340920567512512
52,457,3.7822355041967164,4.340920567512512
52,464,3.7254283382312785,4.340920567512512
52,556,3.9801466773019563,4.340920567512512
52,576,3.621132494019104,4.340920567512512
55,101,4.240780369447304,4.340920567512512
55,140,4.123996094869209,4.340920567512512
55,239,3.7519979635940324,4.340920567512512
55,349,3.8738518218265305,4.340920567512512
55,368,4.180429772542549,4.340920567512512
55,464,3.7089058934466372,4.340920567512512
55,496,4.183054373668266,4.340920567512512
55,556,3.896042936550213,4.340920567512512
55,575,2.437548504279686,4.340920567512512
55,576,3.530168131993843,4.340920567512512
57,349,4.204584733651711,4.340920567512512
57,368,4.2954978952871095,4.340920567512512
57,457,4.251319469021393,4.340920567512512
57,464,3.5625067456380854,4.340920567512512
57,556,3.7322355071769486,4.340920567512512
61,393,4.1964619765744935,4.340920567512512
61,457,2.830021143959595,4.340920567512512
62,108,3.715054840849472,4.340920567512512
