i,j,dist,eps
0,200,5.116005451487137,5.271279454231262
0,559,3.8130409131513368,5.271279454231262
1,559,4.652060003088547,5.271279454231262
4,559,3.279877171920372,5.271279454231262
7,135,5.225737781332565,5.271279454231262
7,298,5.234424979494644,5.271279454231262
7,574,4.868590743349625,5.271279454231262
11,200,4.985402376459671,5.271279454231262
11,559,4.287981228040291,5.271279454231262
12,192,4.957067423568798,5.271279454231262
12,200,5.032336623476578,5.271279454231262
12,275,4.691684813307358,5.271279454231262
12,412,4.755263376118375,5.271279454231262
12,430,4.702019373954965,5.271279454231262
12,503,4.994822927819325,5.271279454231262
12,559,2.367892013000084,5.271279454231262
13,298,5.110701502369476,5.271279454231262
17,559,4.63132655720575,5.271279454231262
19,298,4.555450082825256,5.271279454231262
21,559,4.294677290202809,5.271279454231262
22,559,4.9763352284894715,5.271279454231262
23,559,4.31663017074926,5.271279454231262
25,200,3.3640929470525514,5.271279454231262
25,275,4.0214794884191285,5.271279454231262
25,412,3.981546760605408,5.271279454231262
25,477,4.932740450905396,5.271279454231262
25,503,4.8200284625159036,5.271279454231262
25,538,5.26595077018602,5.271279454231262
25,559,1.4929931173787843,5.271279454231262
30,559,4.51688701759441,5.271279454231262
32,559,3.4925818751321565,5.271279454231262
33,559,4.708516300724579,5.271279454231262
35,559,4.970149681972099,5.271279454231262
37,574,5.264353455113007,5.271279454231262
39,200,3.7725156853662263,5.271279454231262
39,275,4.8801752636895905,5.271279454231262
39,412,4.017705322311951,5.271279454231262
39,503,4.843920269118382,5.271279454231262
39,559,1.6304100463853608,5.271279454231262
40,559,4.351035059498383,5.271279454231262
41,200,4.549684942768646,5.271279454231262
41,559,4.70459857683046,5.271279454231262
45,298,3.449066461132599,5.271279454231262
45,490,4.901610911892487,5.271279454231262
45,574,4.724618048475815,5.271279454231262
49,275,4.887786836432053,5.271279454231262
49,503,5.117685624466969,5.271279454231262
49,559,2.551178575562073,5.271279454231262
53,298,5.104691297815872,5.271279454231262
54,559,4.063280739890171,5.271279454231262
55,559,4.3729372556076775,5.271279454231262
56,275,5.108449936913086,5.271279454231262
56,559,3.631949455545975,5.271279454231262
57,559,4.138340548680855,5.271279454231262
58,200,3.9026058084086905,5.271279454231262
58,412,5.089755282805992,5.271279454231262
58,559,3.4119064277724753,5.271279454231262
59,200,4.838187159107758,5.271279454231262
59,559,2.7331491122709046,5.271279454231262
60,559,5.01886910300119,5.271279454231262
62,200,4.944857494042946,5.271279454231262
62,559,4.1636821786628495,5.271279454231262
63,298,4.610007985563708,5.271279454231262
64,559,4.784736455486847,5.271279454231262
66,559,4.575975396739079,5.271279454231262
68,559,5.125827041523291,5.271279454231262
71,192,4.018637872835381,5.271279454231262
71,200,4.009681686362011,5.271279454231262
71,559,3.3041436519229244,5.271279454231262
73,559,4.260844201849533,5.271279454231262
74,559,4.665890396641327,5.271279454231262
76,192,4.302650938985163,5.271279454231262
76,200,3.0567271888826433,5.271279454231262
76,275,4.182368981895262,5.271279454231262
76,412,3.7506158531282487,5.271279454231262
76,415,5.068195152339751,5.271279454231262
76,430,4.251674155947978,5.271279454231262
76,500,4.751631784496123,5.271279454231262
76,503,4.568366344330126,5.271279454231262
76,509,4.514039333221728,5.271279454231262
76,538,4.724850612935835,5.271279454231262
76,542,4.516890528855139,5.271279454231262
76,559,1.0858791053865495,5.271279454231262
77,559,3.8061920414434205,5.271279454231262
80,559,3.8268805603252183,5.271279454231262
81,298,4.66085410218103,5.271279454231262
81,574,4.850575895117355,5.271279454231262
82,559,4.698423099772764,5.271279454231262
83,192,4.203862243400646,5.271279454231262
83,200,3.7756115804181825,5.271279454231262
83,275,3.205778778599335,5.271279454231262
83,412,3.6549523631797562,5.271279454231262
83,430,4.136930824326111,5.271279454231262
83,500,3.8652864704595338,5.271279454231262
83,503,4.029583224164082,5.271279454231262
83,509,5.111512617276741,5.271279454231262
83,515,5.157405377434326,5.271279454231262
83,538,5.16159799795015,5.271279454231262
83,559,0.8716880093084107,5.271279454231262
85,559,4.5837691734300385,5.271279454231262
86,200,4.763764024780823,5.271279454231262
86,559,3.648253322647644,5.271279454231262
88,559,5.242712319897247,5.271279454231262
89,559,4.16976598005159,5.271279454231262
91,290,5.240205557154251,5.271279454231262
91,298,4.852589846657349,5.271279454231262
92,192,5.1637520874605904,5.271279454231262
92,200,4.796006036059691,5.271279454231262
92,412,5.253883936511112,5.271279454231262
92,559,4.078522362814976,5.271279454231262
93,559,4.112283260630203,5.271279454231262
94,559,4.955742479370667,5.271279454231262
95,275,5.153881878660751,5.271279454231262
95,559,3.861508012817932,5.271279454231262
96,200,5.208782271550728,5.271279454231262
96,559,3.327114761875702,5.271279454231262
101,200,3.213959875585271,5.271279454231262
101,559,3.075812938691808,5.271279454231262
102,559,4.86336662720306,5.271279454231262
103,559,5.150749207542969,5.271279454231262
107,200,3.753019393490387,5.271279454231262
107,412,4.919145614908768,5.271279454231262
107,559,2.3801607499585877,5.271279454231262
108,559,4.704842270420624,5.271279454231262
109,192,4.013260209070278,5.271279454231262
109,559,4.836492524550987,5.271279454231262
110,559,4.297412098454071,5.271279454231262
111,192,5.256378718720509,5.271279454231262
111,200,4.534092352794243,5.271279454231262
111,275,4.631001518176628,5.271279454231262
111,412,4.810943887637688,5.271279454231262
111,430,5.223885045455528,5.271279454231262
111,559,2.412963793681694,5.271279454231262
113,559,5.248024971293045,5.271279454231262
115,559,4.88418585162027,5.271279454231262
116,559,2.948519826935364,5.271279454231262
118,559,4.506209314869476,5.271279454231262
120,559,4.686225117252899,5.271279454231262
125,559,4.469477416084839,5.271279454231262
128,192,5.099112765000893,5.271279454231262
128,200,3.2894841368065606,5.271279454231262
128,412,4.395510696874691,5.271279454231262
128,415,5.205768191324307,5.271279454231262
128,509,5.033330463872982,5.271279454231262
128,538,5.1288824910984765,5.271279454231262
128,559,2.490396821008755,5.271279454231262
129,200,4.292299182222916,5.271279454231262
129,275,4.978579522179199,5.271279454231262
129,412,5.052728653954102,5.271279454231262
129,415,4.982117057846619,5.271279454231262
129,559,2.0940426598058473,5.271279454231262
130,559,4.817980111645294,5.271279454231262
132,200,3.766775191830231,5.271279454231262
132,412,5.154600025223328,5.271279454231262
132,415,5.2560017714963685,5.271279454231262
132,559,2.5746232877240907,5.271279454231262
135,192,3.723953389631344,5.271279454231262
135,200,4.11769662524922,5.271279454231262
135,275,3.5623488436208497,5.271279454231262
135,412,3.71109539370401,5.271279454231262
135,430,3.9289085427985917,5.271279454231262
135,500,4.300694466637207,5.271279454231262
135,503,3.697146386908127,5.271279454231262
135,509,5.075863988207413,5.271279454231262
135,515,4.140640438602997,5.271279454231262
135,538,4.833402828382088,5.271279454231262
135,559,1.0152491713629495,5.271279454231262
138,200,4.366992638515068,5.271279454231262
138,275,4.766884223626686,5.271279454231262
138,412,4.612506673739983,5.271279454231262
138,538,5.039494530366493,5.271279454231262
138,559,2.824488327907158,5.271279454231262
139,298,4.6790852556691895,5.271279454231262
