i,j,dist,eps
1,141,2.862049163387848,4.730792045593262
1,200,3.854157031582428,4.730792045593262
5,77,4.050364197300507,4.730792045593262
5,267,4.587053031729294,4.730792045593262
5,301,4.254020274685455,4.730792045593262
5,340,3.594101847218109,4.730792045593262
5,344,4.200737656162811,4.730792045593262
5,418,3.8435238609777223,4.730792045593262
7,141,4.4371217499242555,4.730792045593262
8,141,3.297306777046753,4.730792045593262
9,141,4.638278604553772,4.730792045593262
14,267,4.702079863356186,4.730792045593262
14,340,4.159866274403168,4.730792045593262
17,141,4.088135005043579,4.730792045593262
23,340,4.726080105708672,4.730792045593262
24,267,4.124542103217674,4.730792045593262
24,340,3.8838323141203652,4.730792045593262
24,418,4.1302420357929,4.730792045593262
25,141,2.674042047070099,4.730792045593262
25,142,4.272102178143097,4.730792045593262
25,200,3.4554946432576905,4.730792045593262
25,207,3.3467683504091035,4.730792045593262
28,141,3.0661226111219655,4.730792045593262
28,142,4.183258851127459,4.730792045593262
28,200,4.142718461410833,4.730792045593262
34,340,4.659940847264362,4.730792045593262
35,58,4.109439880655838,4.730792045593262
35,141,1.8021554360852967,4.730792045593262
35,142,4.442046792315079,4.730792045593262
35,200,3.524238110588623,4.730792045593262
35,207,4.473206282661987,4.730792045593262
40,141,4.527859164004905,4.730792045593262
49,141,4.069604226456715,4.730792045593262
50,141,3.102822155760361,4.730792045593262
58,77,4.619002462433411,4.730792045593262
58,121,4.068746031330658,4.730792045593262
58,134,3.5378140221105348,4.730792045593262
58,267,3.7041630754934083,4.730792045593262
58,301,3.307109595345093,4.730792045593262
58,306,4.630200387047363,4.730792045593262
58,339,4.328232170151306,4.730792045593262
58,340,3.5054728398786317,4.730792045593262
58,421,4.7153954813943635,4.730792045593262
58,461,4.353824467466904,4.730792045593262
58,488,4.710156084106995,4.730792045593262
58,605,3.9680731902585755,4.730792045593262
64,340,4.403531522558762,4.730792045593262
69,141,4.40803299944265,4.730792045593262
71,141,3.2178853760228883,4.730792045593262
72,141,4.173092723892761,4.730792045593262
73,141,3.3984395275579224,4.730792045593262
76,77,4.633063742028309,4.730792045593262
76,340,3.4986840198503266,4.730792045593262
76,344,4.166109264896942,4.730792045593262
76,418,2.9435662637220155,4.730792045593262
77,90,4.521843032048775,4.730792045593262
77,120,3.5992001305089723,4.730792045593262
77,136,4.603570104645325,4.730792045593262
77,141,0.5327903638349305,4.730792045593262
77,142,2.8600635538564454,4.730792045593262
77,193,4.231681631015373,4.730792045593262
77,200,2.1356807063089143,4.730792045593262
